code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1894214,SWATOWSKA-WENGLARCZYK Martyna,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Épée Individual"", ""Women's Épée Team""]",7/8/94,,Poland,,Poland,,"Spending time at home with her husband and cat, watching television series, and meeting friends",Paediatric Physiotherapist (works with pre-school and school-age patients),Graduated with a degree in Physiotherapy and postgraduate studies in the neurodevelopmental therapy of children with central nervous system disorders from the Academy of Physical Education in Katowice (POL),Polish,"Club: Piotr Bortel (POL).<br>National: Bartlomiej Jezyk (POL), Jan Wenglarczyk (POL) - her husband","Husband, Jan Wenglarczyk (fencing), competed at an international level"
1894217,JARECKA Aleksandra,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Épée Team""]",10/11/95,,,,,,,,,,,
1894223,KLASIK Alicja,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Épée Individual"", ""Women's Épée Team""]",2/14/04,,,,,,,,,Polish,National: Bartlomiej Jezyk (POL),
1894231,SLUPEK Roksana,Female,Athlete,POL,POL,0,0,['Triathlon'],"[""Women's Individual""]",4/25/99,BYDGOSZCZ,Poland,,Portugal,,,Armed Forces athlete,"Sports Management at University of Economy (Bydgoszcz, POL)","English, Polish",Personal: Paulo Sousa (POR),
1894235,BOGUCKI Adrian,Male,Athlete,POL,POL,215,0,['3x3 Basketball'],['Men'],11/18/99,,,LESZNO,Poland,Alfik,,Athlete,,Polish,National: Piotr Renkiel (POL),
1894295,BARAN Robert,Male,Athlete,POL,POL,0,0,['Wrestling'],"[""Men's Freestyle 125kg""]",7/3/92,JAROCIN,Poland,,,,,Athlete,,Polish,,
1894298,CHOLUJ Wiktoria,Female,Athlete,POL,POL,0,0,['Wrestling'],"[""Women's Freestyle 68kg""]",2/14/00,,,,,,,Athlete,,Polish,,
1894299,LYSAK Anhelina,Female,Athlete,POL,POL,0,0,['Wrestling'],"[""Women's Freestyle 57kg""]",1/12/98,LVIV,Ukraine,WARSAW,Poland,,,,,"Polish, Ukrainian",,Husband Roman Pacurkowski (POL) is a Greco-Roman wrestler who won gold at the U23 European Championships in 2017
1894302,BARANOWSKI Zbigniew Mateusz,Male,Athlete,POL,POL,0,0,['Wrestling'],"[""Men's Freestyle 97kg""]",7/2/91,BIALOGARD,Poland,,,,,Athlete,,Polish,,
1894333,MATCZAK Fili,Male,Athlete,POL,POL,187,0,['3x3 Basketball'],['Men'],9/18/93,ZIELONA GORA,Poland,ZIELONA GORA,Poland,Fifi,,Athlete,,Polish,National: Piotr Renkiel (POL),
1894356,SOKOLOWSKI Michal,Male,Athlete,POL,POL,196,0,['3x3 Basketball'],['Men'],12/11/92,,,PRUSZKOW,Poland,"Sokol, Soko",,Athlete,,Polish,National: Piotr Renkiel (POL),
1894359,DUESTAD Jeanette Hegg,Female,Athlete,NOR,NOR,0,0,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",1/11/99,,,,,,,,,,,
1894361,RANTES Marin,Male,Athlete,CRO,CRO,0,0,['Cycling BMX Freestyle'],"[""Men's Park""]",8/9/95,VARAZDIN,Croatia,VARAZDIN,Croatia,,,Athlete,,Croatian,,
1894383,VALTER Attila,Male,Athlete,HUN,HUN,0,0,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",6/12/98,CSOMOR,Hungary,BUDAPEST,Hungary,,"Playing video games, rave music and being at home",Athlete,,"English, Hungarian",,"Father, Tibor Valter (cycling), competed in road cycling and track cycling at international level in the early 2000s, with a best result of 48th in the 2001 Trofej Porec (Croatia). National Hungarian champion 27 times across various disciplines"
1894388,CHETCUTI Gianluca,Male,Athlete,MLT,MLT,0,0,['Shooting'],['Trap Men'],11/18/97,PIETA,Malta,ST PAUL'S BAY,Malta,,"DIY, metalwork, automotive, crafts, reading",Mechanical engineer,Graduated in 2019 with a Bachelor's degree in Engineering from the University of Malta (MLT),"English, Italian, Maltese",National: Antonello Iezzi,
1894392,VAS Blanka,Female,Athlete,HUN,HUN,0,0,"['Cycling Road', 'Cycling Mountain Bike']","[""Women's Road Race"", ""Women's Cross-country""]",9/3/01,BUDAPEST,Hungary,,,,,Athlete,,"English, Hungarian",,
